link,date,venue,city,state,country,show_number
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-19-2024-treefort-music-hall-boise-id-usa.html,03/19/2024,Treefort Music Hall,Boise,ID,USA,30
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-21-2024-harrahs-lake-tahoe-south-shore-room-stateline-nv-usa.html,03/21/2024,Harrah's Lake Tahoe South Shore Room,Stateline,NV,USA,31
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-22-2024-the-regency-ballroom-san-francisco-ca-usa.html,03/22/2024,The Regency Ballroom,San Francisco,CA,USA,32
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-23-2024-the-bellwether-los-angeles-ca-usa.html,03/23/2024,The Bellwether,Los Angeles,CA,USA,33
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-24-2024-the-observatory-north-park-san-diego-ca-usa.html,03/24/2024,The Observatory North Park,San Diego,CA,USA,34
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-10-2024-epic-event-center-green-bay-wi-usa.html,04/10/2024,Epic Event Center,Green Bay,WI,USA,35
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-11-2024-the-sylvee-madison-wi-usa.html,04/11/2024,The Sylvee,Madison,WI,USA,36
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-12-2024-first-avenue-minneapolis-mn-usa.html,04/12/2024,First Avenue,Minneapolis,MN,USA,37
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-13-2024-first-avenue-minneapolis-mn-usa.html,04/13/2024,First Avenue,Minneapolis,MN,USA,38
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-18-2024-the-windjammer-isle-of-palms-sc-usa.html,04/18/2024,The Windjammer,Isle of Palms,SC,USA,39
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-19-2024-the-windjammer-isle-of-palms-sc-usa.html,04/19/2024,The Windjammer,Isle of Palms,SC,USA,40
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-20-2024-greenfield-lake-amphitheater-wilmington-nc-usa.html,04/20/2024,Greenfield Lake Amphitheater,Wilmington,NC,USA,41
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-21-2024-greenfield-lake-amphitheater-wilmington-nc-usa.html,04/21/2024,Greenfield Lake Amphitheater,Wilmington,NC,USA,42
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-24-2024-higher-ground-south-burlington-vt-usa.html,04/24/2024,Higher Ground,South Burlington,VT,USA,43
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-25-2024-higher-ground-south-burlington-vt-usa.html,04/25/2024,Higher Ground,South Burlington,VT,USA,44
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-26-2024-house-of-blues-boston-ma-usa.html,04/26/2024,House of Blues,Boston,MA,USA,45
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-27-2024-house-of-blues-boston-ma-usa.html,04/27/2024,House of Blues,Boston,MA,USA,46
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-16-2024-jj039s-live-fayetteville-ar-usa.html,05/16/2024,JJ's Live,Fayetteville,AR,USA,47
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-17-2024-grinders-kc-kansas-city-mo-usa.html,05/17/2024,Grinders KC,Kansas City,MO,USA,48
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-18-2024-horizon-event-center-clive-ia-usa.html,05/18/2024,Horizon Event Center,Clive,IA,USA,49
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-24-2024-three-sisters-park-chillicothe-il-usa.html,05/24/2024,Three Sisters Park,Chillicothe,IL,USA,50
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-25-2024-three-sisters-park-chillicothe-il-usa.html,05/25/2024,Three Sisters Park,Chillicothe,IL,USA,51
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-13-2024-red-butte-garden-salt-lake-city-ut-usa.html,06/13/2024,Red Butte Garden,Salt Lake City,UT,USA,52
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-14-2024-gerald-r-ford-amphitheater-vail-co-usa.html,06/14/2024,Gerald R. Ford Amphitheater,Vail,CO,USA,53
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-15-2024-red-rocks-amphitheatre-morrison-co-usa.html,06/15/2024,Red Rocks Amphitheatre,Morrison,CO,USA,54
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-20-2024-the-district-sioux-falls-sd-usa.html,06/20/2024,The District,Sioux Falls,SD,USA,55
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-21-2024-lake-superior-big-top-chautauqua-bayfield-wi-usa.html,06/21/2024,Lake Superior Big Top Chautauqua,Bayfield,WI,USA,56
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-22-2024-henry-maier-festival-park-milwaukee-wi-usa.html,06/22/2024,Henry Maier Festival Park,Milwaukee,WI,USA,57
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-23-2024-double-jj-resort-rothbury-mi-usa.html,06/23/2024,Double JJ Resort,Rothbury,MI,USA,58
