showid,uniqueid,songid,set,position,transition,isreprise,isjam,isjamchart,jamchart_description,tracktime,gap,is_original,soundcheck,footnote,exclude
1251597695,279366,29,3,18,1,0,0,0,,,3,1,,,0
1251597695,279385,815,3,19,1,0,0,0,,,10,1,,,0
1251597695,279405,29,3,20,1,0,0,0,,,0,1,,"Sung as ""Sex Mob""",0
1251597695,279426,815,3,21,1,0,0,0,,,0,1,,"Sung as ""Dead Cops""",0
1251597695,279448,359,3,22,6,0,0,0,,,3,1,,,0
1251597818,8625,554,1,1,1,0,0,0,,,1,1,,,0
1251597818,8626,22,1,2,2,0,0,0,,,4,1,,,0
1251597818,8627,335,1,3,2,0,0,0,,,11,1,,,0
1251597818,8628,22,1,4,2,0,0,0,,,0,1,,,0
1251597818,8629,381,1,5,1,0,0,0,,,1,1,,,0
1251597818,8630,147,1,6,1,0,0,0,,,1,1,,,0
1251597818,8631,815,1,7,1,0,0,0,,,1,1,,,0
1251597818,8632,29,1,8,1,0,0,0,,,1,1,,,0
1251597818,8633,100,1,9,1,0,0,0,,,1,1,,,0
1251597818,25315,478,1,10,1,0,0,0,,,4,1,,,0
1251597818,25316,365,1,11,6,0,0,1,"The entire band breaks into a jam where Page would solo in later versions. Although the recording ends before the jamming section concludes, the nearly 5 minutes captured on tape give a good flavor for the open-ended nature of these early jams in ""McGrupp.""",,1,1,,,0
1251598241,8634,250,1,1,1,0,0,1,"First known performance. Song structure today is remarkably similar to this initial version, but this one also has some added jamming before and during the ""Mr. Minor"" section. The main jam segment has the same melodic flow as today.",,27,1,,First known version.,0
1251598241,8635,164,1,2,2,0,0,0,,,27,1,,First known public version.,0
1251598241,8636,440,1,3,1,0,0,1,"Debut. Both Page and Jeff Holdsworth perform in this version, during a brief crossover period before Jeff left the band. The jam includes a Page section and Trey-led part. Jeff leads the vocals.",,3,1,,,0
1251598241,8637,512,1,4,1,0,0,0,,,3,1,,,0
1251598241,8638,518,1,5,1,0,0,1,First recorded performance available. Solid version with an excellent vocal jam.,,3,0,,,0
1251598241,8639,288,1,6,1,0,0,0,,,13,0,,,0
1251598241,8640,456,1,7,1,0,0,0,,,28,0,,,0
1251598241,8641,22,1,8,2,0,0,0,,,2,1,,Lyric referenced pumpkin pie.,0
1251598241,8642,335,1,9,2,0,0,0,,,2,1,,,0
1251598241,8643,22,1,10,1,0,0,0,,,0,1,,,0
1251598241,8644,441,1,11,1,0,0,0,,,3,1,,,0
1251598241,12441,511,1,12,6,0,0,0,,,15,1,,,0
1251598631,27263,512,1,1,1,0,0,0,,,2,1,,Acoustic. Possible female vocalist accompaniment.,0
1251598631,27264,272,1,2,1,0,0,0,,,30,0,,First known Phish version; acoustic.,0
1251598631,27265,359,1,3,2,0,0,1,"Acoustic! Trey introduces Page, and then the song drifts and > ""Piggies.""",,5,1,,Acoustic.,0
1251598631,27266,436,1,4,3,0,0,1,Bacon in the &quot;Makisupa&quot; sandwich.,,30,0,,First known Phish version; acoustic.,0
1251598631,27267,359,1,5,3,0,0,1,"-> in from ""Piggies."" Trey remains on acoustic guitar. There's a very good accelerating jam, reminiscent of many of Trey's early compositions, starting at 0:40. -> ""Drums.""",,0,1,,Acoustic.,0
1251598631,27268,787,1,6,2,0,0,0,,,25,0,,"Possible guest appearance by Marc Daubert, at least one member of The Joneses, and possibly others.",0
1251598631,27269,22,1,7,2,0,0,0,,,2,1,,Acoustic.,0
1251598631,27270,151,1,8,6,0,0,0,,,30,1,,First known version; acoustic.,0
1251598745,8646,675,1,1,4,0,0,0,,,31,0,,First known Phish performance.,0
1251598745,8647,381,2,2,1,0,0,0,,,5,1,,,0
1251598745,8648,662,2,3,1,0,1,1,"Labeled &quot;Whipping Post Jam&quot; in the Setlist, little of this 27 minute open-ended improv session sounds anything like the song. It's more of an early example of the band's inherent improvisational nature. Even if not superb music, it's worth the journey back in time to hear where it all came from.",,9,0,,,0
1251598745,8649,478,2,4,3,0,0,0,,,5,1,,,0
1251598745,8650,147,2,5,6,0,0,0,,,5,1,,,0
1251599046,500700,311,1,1,6,0,0,0,,,10,0,,,0
1252183401,11416,512,1,1,1,0,0,0,,,3,1,,,0
1252183401,11432,381,1,2,2,0,0,0,,,2,1,,,0
1252183401,11433,147,1,3,1,0,0,0,,,2,1,,,0
1252183401,11434,690,1,4,1,0,0,1,Revolutionary poet ZENZILE on violin.,,32,1,,First known version.,0
1252183401,11435,22,1,5,2,0,0,0,,,3,1,,,0
1252183401,11436,335,1,6,2,0,0,0,,,5,1,,"""It's alright"" quotes from Trey.",0
1252183401,11437,22,1,7,1,0,0,0,,,0,1,,,0
1252183401,25317,441,1,8,1,0,0,0,,,5,1,,,0
1252183401,25318,478,1,9,4,0,0,0,,,2,1,,Jeff Holdsworth on slide guitar.,0
1252183401,27172,913,2,10,1,0,0,0,,,33,0,,First known Phish performance. With Zenzil̩ Madikinea.,0
1252183401,27173,595,2,11,1,0,0,0,,,33,0,,First known Phish performance. With Zenzil̩ Madikinea.,0
1252183401,27174,914,2,12,1,0,0,0,,,33,0,,First known Phish performance. With Zenzil̩ Madikinea.,0
