song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
511,Lovely Day,0,Bill Withers,2020-01-24,2020-03-11,2,197.5
512,Madhuvan,1,Goose,2014-12-20,2025-06-29,172,4.94
513,Mas Que Nada,0,Sergio Mendes,2018-07-12,2025-06-19,24,21.83
514,Make The Move,0,Kenny Loggins,2018-07-05,2024-06-20,19,29.22
515,Me and Julio Down By The Schoolyard,0,Paul Simon,2018-04-21,2022-06-12,21,26.1
516,Mele Kalikimaka,0,Bing Crosby,2018-12-22,2018-12-22,1,481.0
519,Movin' Out (Anthony's Song),0,Billy Joel,2019-06-15,2021-11-10,14,31.93
520,Mr. Night,0,Kenny Loggins,2018-07-05,2018-07-05,1,526.0
521,My Generation,0,The Who,2018-07-12,2022-08-12,7,74.86
522,Never Never Gonna Give Ya Up,0,Barry White,2019-10-31,2019-10-31,1,417.0
523,New Speedway Boogie,0,Grateful Dead,2014-11-26,2014-11-26,1,777.0
524,Nights In White Satin,0,The Moody Blues,2020-01-25,2025-06-11,9,43.78
525,No Rain,0,Blind Melon,2018-06-02,2025-06-20,18,29.83
526,On Our Own,0,Bobby Brown,2018-10-26,2018-10-26,1,499.0
527,One More Day,0,The Wood Brothers,2015-04-18,2024-09-20,13,58.85
528,One More Saturday Night,0,Grateful Dead,2014-12-20,2021-12-31,21,38.8
529,One Way Out,0,The Allman Brothers Band,2017-01-28,2017-07-08,2,345.0
530,Peaches En Regalia,0,Frank Zappa,2016-10-09,2019-09-06,7,101.0
531,Peggy-O,0,Grateful Dead,2015-02-20,2024-11-12,16,48.19
532,Pinche Gringo,1,Goose,2015-03-14,2015-03-14,1,768.0
533,Praise You,0,Fatboy Slim,2016-04-15,2024-06-30,9,91.13
534,Pumped Up Kicks,0,Foster The People,2016-11-23,2025-06-29,26,26.85
536,Red Bird,1,Goose,2022-01-29,2025-06-28,55,5.09
537,Red Red Wine,0,UB40,2018-12-22,2018-12-22,1,481.0
538,Rosa Lee McFall,0,Grateful Dead,2019-08-08,2024-09-06,3,145.0
539,Rosetta,0,Earl Hines,2014-12-20,2015-02-20,3,258.67
541,Same Old Shenanigans,1,Goose,2016-03-19,2025-06-29,58,12.66
542,Savin' The Day,0,Alessi Brothers,2018-10-27,2018-10-27,1,498.0
543,Sco-Mule,0,Government Mule ft. John Scofield,2014-11-26,2021-11-16,8,97.13
544,Secret Agent Man,0,Johnny Rivers,2018-07-12,2024-06-23,5,131.0
545,Shama Lama Ding Dong,0,Otis Day and The Knights,2016-10-09,2025-06-28,44,16.07
546,She Drives Me Crazy,0,Fine Young Cannibals,2017-08-19,2017-08-19,1,627.0
547,Shelter From The Storm,0,Bob Dylan,2020-06-28,2020-06-28,1,346.0
548,Shoe Dog,0,John Scofield,2014-11-26,2014-11-26,1,777.0
549,Short People,0,Randy Newman,2019-10-31,2019-12-13,3,139.0
550,Shout,0,The Isley Brothers,2014-12-20,2020-03-05,8,97.0
551,Sleepwalk,0,Santo & Johnny,2019-10-19,2024-06-16,4,104.75
